Key;Russian
Account;Аккаунт
Account settings;Настройки аккаунта
Activity log;Журнал активности
Add;Добавить
Add connection;Добавить связь
Add dictionary;Добавить словарь
Add document type;Добавить тип документа
Add file;Добавить файл
Add language;Добавить язык
Add link;Добавить ссылку
Add page;Добавить страницу
Add template;Добавить шаблон
Add thesaurus;Добавить тематический справочник
Add to all languages;Добавить ко всем языкам
Add user;Добавить пользователя
Add/delete users and assign roles;Добавить/удалить пользователей и назначить роли
Add/edit translations;Добавить / редактировать переводы
Admin;Админ
Advanced settings;Расширенные настройки
Allowed Public Templates;Разрешенные общедоступные шаблоны
Any value;Любое значение
Apply properties to documents/entities;Применить свойства к документам /объектам
Attachments;Вложения
Back;Назад
Cancel;Отмена
Change password;Изменить пароль
check as private instance;Отметить как приватную базу данных
Close session;Завершить сессию
Collection;Коллекция
Collection settings;Настройки коллекции
Configure filters;Настроить фильтры
Confirm;Подтвердить
Confirm delete document type message;Подтвердить удаление данного типа документа - сообщение
Confirm delete document type title;Подтвердить удаление данного типа документа - заголовок 
Confirm delete multiple items;Подтвердить удаление нескольких элементов
Confirm new password;Подтвердите новый пароль
Connection type;Тип связи
Connections;Связи
connections;Связи
Create a table of contents;Создать содержание
Create connections and references;Создать связи и ссылки 
Create dictionaries;Создать словари
Create document and entity types;Создать документ и типы объектов
Create group;Создать группу
Custom CSS;Персональные CSS
Custom page;Персональная страница
Customisation;Персонализация
Date added;Дата добавления
Date format;Формат даты
Delete;Удалить
Delete documents and entities;Удалить документы и объекты
Delete language;Удалить язык
Dictionaries;Словари
Discard changes;Отменить изменения
Document and entity types;Типы документов и объектов
Document types;Типы документов 
Documents;Документы
documents;документы
Downloads;Загрузки
Duplicated name;Дублированное имя
Edit;Редактировать
Editor;Редактор
Email;Электронная почта
Email address;Адрес электронной почты
Email updated;Электронная почта обновлена
Entities;Объекты
Filename label;Метка - имя файла
Filters;Фильтры
Filters AND operator;Фильтры и оператор
Filters configuration;Конфигурация фильтров
Filters OR operator;Фильтры или оператор
Flag;Флаг
Forgot Password?;Забыли пароль?
Google Analytics ID;ID Google Аналитики
hubs;Хаб
Icon;Символ
in;в
Info;Информация
Invalid form;Недействительная форма
"Label date ""From""";"Метка даты ""от"""
"Label date ""to""";"Метка даты ""до"""
Landing page;Главная страница
Language;Язык
Least recently;Наиболее давно
Library;Библиотека
List view;Просмотр списка
Login;Войти
Login button;Кнопка входа 
Login failed;Ошибка авторизации
Logout;Выйти
Mailer configuration;Конфигурация Mailer
Manage site settings and configuration;Управление сайтом и конфигурация
Map view;Обзор карты 
MapTiler key;Ключ MapTiler
Maximum;максимум
Menu;Меню
Metadata;Метаданные
Minimum;минимум
My Files;Мои файлы
Name;Имя
Name connections;Назвать связи
New entity;Новый объект
New password;Новый пароль
No;Нет
No common filters;Нет общих фильтров
No Connections;Нет связей
No Connections description;Нет описания связи
No Label;Нет метки
No options found;Не найдено вариантов
No property;Нет свойства
No References;Нет ссылок
No References description;Нет описания ссылок
No Relationships;Нет взаимосвязей
No Relationships description;Нет описания взаимосвязей
No Table of Contents;Нет содержания
No Table of Contents description;Нет описания содержания
No text match;Нет совпадающего текста
No text match description;Нет описания совпадающего текста
No type;Нет типа
No value;Нет значения
of;из
Order;Последовательность
Other;Другой
Pages;Страницы
Password;Пароль
Password Error;Неверный пароль
Password updated;Пароль обновлен
Private documents;Приватные документы
Private instance;Приватная база данных
Public documents;Общедоступные документы
Publish;Опубликовать
Recently;Недавно
References;Ссылки
Relationship;Взаимосвязь 
Relationship types;Типы взаимосвязей
Relationships;Взаимосвязи
RelationType saved;Тип взаимосвязи сохранен
Relevance;Релевантность 
Reset;Сброс
Role;Роль
Save;Сохранить
Search;Искать
Search connections;Искать среди связей
Search item;Искать предмет
Search related entities or documents;Искать связанные объекты и документы 
Search relevance;Релевантность поиска
Search text;Поиск по тексту
Search text description;Поиск по описанию текста
Search Tips: boolean;Советы по поиску: логический поиск
Search Tips: exact term;Советы по поиску: поиск по точному термину
Search Tips: one char wildcard;Советы по поиску: поиск по общему термину
Search Tips: proximity;Советы поиска: близость
Search Tips: wildcard;Советы по поиску: общий поиск
Select list;Выберите список
selected;выбранный
Send recovery email;Отправить письмо для восстановления на электронную почту 
Separator;Разделитель
Settings;Настройки
Settings updated;настройки обновлены
Show more;Показать больше
Sign in;Войти
Size;Размер
Sort by;Сортировать по
sorted by;отсортировано по
Table of Contents;Содержание
Templates;Шаблоны
Text;Текст
Thesauri;Предметный указатель
Thesaurus saved;Предметный указатель сохранен
This action will unselect all the entities.;Действие приведет к отмене выбора всех объектов
Title;Заголовок
Tools;Инструменты
Translate;Перевести
Translations;Переводы
Translations saved;Переводы сохранены
Type;Тип
Update;Обновить
Upload documents and create entities;Загрузить документы и создать объекты
Uploading;Идет загрузка
Uploads;Загрузки
User;Пользователь
Username;Имя пользователя
Users;пользователи
View;Просмотреть 
View in library;Просмотреть в библиотеке
x less;X меньше
x more;х больше
% of sentences above threshold;% предложений выше порога
(please keep this key secret and don't share it):;Пожалуйста, храните этот ключ в тайне и ни с кем им не делитесь
(view page);(Просмотр страницы)
(+) click to select multiple cards;(+) Нажмите, чтобы выбрать несколько карточек
- Entity:;- Объект:
- Library search:;- Поиск в библиотеке:
- Site page:;- Страница сайта:
1. Right-click an image or video on the web and copy the image's URL. Altenatively websites offers share button whereyou can get URL.;1. Щелкните правой кнопкой мыши на изображение или видео в Интернете и скопируйте URL-адрес изображения. Иногда веб-сайты предлагают воспользоваться кнопкой «Поделиться», где можно получить URL-адрес.
2. Return here and paste the URL in this field (Ctrl+V or Command+V);2. Вернитесь сюда и вставьте URL в это поле (Ctrl+V или Command+V)
A generated ID will be the default title.;Сгенерированный идентификатор будет назначен заголовком по умолчанию
Accept;Принять
Action;Действие
Activate this feature for enhanced account security;Активируйте эту функцию, чтобы укрепить безопасность учетной записи
Active Languages;Активные языки
Add / remove favorite;Добавить/удалить избранное
Add date;Добавить дату
Add entities / documents;Добавить объекты/документы
Add from url;Добавить из URL
Add from web;Добавить из Интернета
Add group;Добавить группу
Add people or groups;Добавить людей или группы
Add resource;Добавить ресурс
Add supporting file;Добавьте вспомогательный файл
Add to table of contents;Добавить в оглавление
Add users;Добавить пользователей
Adjacent geolocation properties will render on the same map;Смежные свойства геолокации будут отражаться на той же карте
Administrators and Editors;Администраторы и Редакторы
All changes will be lost, are you sure you want to proceed?;Все изменения будут потеряны, вы уверены, что хотите продолжить?
All entities and documents that have already this property assigned will loose its current value;Все объекты и документы, использующее данное свойство для описания, потеряют текущее значение
Always use URLs relative to your site, starting with / and skipping the domain name. Example:;Всегда используйте относительный URL-адрес для вашего сайта, начиная с / и пропуская название домена. Например:
An error has occured during data export;Во время экспорта данных произошла ошибка
Analytics description;Описание аналитики
Anyone will be able to see them;Смогут увидеть все
Authentication code;Код для аутентификации
Auto-save;Автосохранение
Automatic Table of Contents;Автоматическое оглавление
Automatically generated;Генерируется автоматически
Available Languages;Доступные языки
Back to;Назад к
Back to search;Назад к поиску
Back to thesauri;Назад к предметным указателям
Back to thesaurus;Назад к предметному указателю
Body;Основная часть
Browse files to upload;Просмотрите файлы для загрузки
Browse your PDFs to upload;Просмотрите PDF-файлы для загрузки
Can edit;Может редактировать
Can see;Может видеть
Can view;Может просматривать
Cannot use 'any entity or document' if another relationship of the same type is already with a specific entity.;"Нельзя использовать ""любой объект или документ"" в случаях, когда с конкретным объектом уже установлены другие отношения смежного типа "
Captcha;Captcha
Cards;Карточки
Cards View;Вид карточек
Caution: the selected entities will be;Предупреждение: выбранные объекты будут
Change will take effect after saving the template;Изменение вступит в силу после сохранения шаблона
Changing the type will erase all connections to this entity.;Изменение типа уничтожит все связи с этим объектом
Character support description;Описание поддержки символов
Character support process warning;Предупреждение об обработке процесса поддержки символов
Character support revert warning;Предупреждение о возврате поддержки символов в прежнее состояние
Check to make this instance private (only logged-in users can access the data);Проверьте для того, чтобы сделать эту базу данных приватной для просмотра (только зарегистрированные пользователи смогут получить доступ к данным)
Clear Filters;Очистить фильтры
Clear coordinates;Очистить координаты
Click here;Нажмите сюда
Click to fill;Нажмите, чтобы заполнить
Close;Закрыть
Collaborator;Коллаборатор
Configure suggestions;Настроить подсказки
Configure the default landing page for your site.;Настройте целевую страницу для вашего сайта по умолчанию
Confirm deletion;Подтвердить удаление
